--------------------------------------------------------------------------------------------------------------
|     Flight no.      |      Altitude       |      Velocity       |       Course        |    Position x,y     |
--------------------------------------------------------------------------------------------------------------
|       NSQ675        |      16800 m.       |     288,74 m/s      |      198,98 °       |     27097,11690     |
|       PSP774        |       900 m.        |      96,47 m/s      |      326,02 °       |     60436,78904     |
|       FQB073        |       1300 m.       |     295,68 m/s      |      326,03 °       |     62270,71626     |
|       NFC442        |      18700 m.       |     184,48 m/s      |      315,76 °       |     45961,85413     |
|       DVS756        |      10500 m.       |     121,12 m/s      |      248,96 °       |     21842,27345     |
|       WYH522        |       5300 m.       |     232,61 m/s      |      334,78 °       |     76785,79366     |
|       NJE662        |      15600 m.       |     263,66 m/s      |      300,96 °       |     38708,53694     |
|       UKA442        |       2800 m.       |     145,19 m/s      |      108,87 °       |     83743,11596     |
|       KYF242        |       2000 m.       |     192,04 m/s      |      231,99 °       |     51294,10525     |
|       QPU263        |       5600 m.       |      119,3 m/s      |      149,32 °       |     66922,25157     |
|       YLT577        |       1300 m.       |     172,67 m/s      |      333,69 °       |     60257,55555     |
|       FSN025        |      11100 m.       |     248,17 m/s      |      295,31 °       |     19907,62404     |
|       DLR510        |      11400 m.       |     159,87 m/s      |       8,13 °        |     51796,39098     |
|       TYK406        |      12200 m.       |     244,28 m/s      |       31,31 °       |     55901,47302     |
|       OYG251        |       9300 m.       |     265,06 m/s      |      233,81 °       |     82868,56914     |
|       KUB606        |      16900 m.       |     168,26 m/s      |      119,74 °       |     76819,12378     |
|       GSF322        |       3100 m.       |     127,25 m/s      |      266,08 °       |     24508,52348     |
|       OHT008        |       6000 m.       |      112,4 m/s      |        172 °        |     27848,57636     |
|       VJO738        |      12500 m.       |     223,16 m/s      |      158,03 °       |     53832,32834     |
|       MEN057        |       7100 m.       |     139,53 m/s      |      292,73 °       |     21228,73701     |
|       KUF777        |      10600 m.       |     167,22 m/s      |      153,43 °       |     83116,24822     |
|       SUF856        |       1600 m.       |     233,96 m/s      |       32,86 °       |     57298,45206     |
|       CNB300        |      19500 m.       |     230,23 m/s      |      295,98 °       |     48871,28734     |
|       DHV266        |      13300 m.       |     152,91 m/s      |      199,26 °       |     45319,67848     |
|       KFY828        |       6400 m.       |      97,78 m/s      |       174,9 °       |     54936,31549     |
|       FSU102        |       9100 m.       |      94,31 m/s      |      185,29 °       |     47402,47113     |
|       DJN067        |      19900 m.       |     146,29 m/s      |        252 °        |     27126,39997     |
|       CCE161        |       6500 m.       |      97,92 m/s      |      250,28 °       |     86336,52046     |
|       TYL044        |      10600 m.       |     253,22 m/s      |      200,92 °       |     29020,30208     |
|       NUJ844        |      18800 m.       |     131,22 m/s      |      304,74 °       |     32830,25509     |
|       NMD242        |      12400 m.       |     173,79 m/s      |      108,07 °       |     73831,20682     |
|       YNK822        |       1400 m.       |     143,26 m/s      |      236,89 °       |     62843,27860     |
|       QIT777        |      13000 m.       |     189,81 m/s      |       76,22 °       |     85651,74131     |
|       CQL275        |      17300 m.       |     157,75 m/s      |       14,04 °       |     40010,16277     |
|       EMB525        |      11800 m.       |      89,44 m/s      |      206,57 °       |     39282,57517     |
|       FCW447        |       1600 m.       |     165,23 m/s      |       180,6 °       |     56431,82069     |
|       CLT336        |      19100 m.       |     199,12 m/s      |       25,89 °       |     65000,11394     |
|       LMC413        |      12000 m.       |     220,95 m/s      |      205,15 °       |     11537,14260     |
|       OQD568        |      18400 m.       |      85,85 m/s      |       96,98 °       |     51178,88054     |
|       RXY786        |      11200 m.       |     177,99 m/s      |      303,85 °       |     23220,65466     |
|       WYV801        |       7500 m.       |     147,34 m/s      |      258,42 °       |     43598,32752     |
|       HTX274        |       2200 m.       |     135,65 m/s      |         0 °         |     39420,25975     |
|       DOF257        |      13900 m.       |     119,44 m/s      |       47,95 °       |     37677,74094     |
|       YKS048        |      16400 m.       |     276,22 m/s      |      208,18 °       |     32136,23293     |
|       NLW427        |      12000 m.       |      94,62 m/s      |       197,1 °       |     40458,65582     |
|       USF768        |       3600 m.       |     168,35 m/s      |      340,07 °       |     47555,55245     |
|       HUE400        |       2200 m.       |      287,3 m/s      |       66,07 °       |     60349,55239     |
|       KQV886        |      17700 m.       |     178,42 m/s      |      173,84 °       |     40690,45678     |
|       RUQ646        |       2500 m.       |      85,29 m/s      |      309,21 °       |     56521,21167     |
|       SJK112        |       3700 m.       |     283,53 m/s      |      138,98 °       |     45384,15762     |
|       NHK464        |      16200 m.       |     285,14 m/s      |       280,9 °       |     25888,54238     |
|       UXX162        |       6100 m.       |     213,01 m/s      |      351,08 °       |     63031,70773     |
|       VIL378        |       7800 m.       |     116,99 m/s      |      138,01 °       |     17553,22205     |
--------------------------------------------------------------------------------------------------------------
|                                     Latest update: 19-04-2018 15:08:56                                      |
--------------------------------------------------------------------------------------------------------------
